Interpret,Titel
Peter Doherty,Arcady
The Leisure Society,Save It For Someone Who Cares
The Accidental,I Can Hear Your Voice
Bowerbirds,Bright Future
King Midas Sound,Goodbye Girl
Monsters Of Folk,Slow Down Jo
Emily Jane White,Never Dead
Hope Sandoval & The Warm Inventions,Blanchard
Lars And The Hands Of Light,Me Me Me
Shocking Blue,Venus
Earth And Fire,Memories
Lightning Dust,Wandering What Everyone Knows
The Church,Under The Milky Way
Nicolay feat. Carlitta Durand,Saturday Night
Geeneus,Out Of The Future
Joy Orbison,BRKLN CLLN
William Fitzsimmons,I Don't Feel It Anymore
Sufjan Stevens,Holland
Sufjan Stevens,Movement I: In The Countenance Of Kings
Lawrence,Sunrise
Cyrus,Lost Souls
Darren Hayman & The Secondary Modern,Pram Town
Charlotte Gainsbourg,In The End
The Mountain Goats,Philippians
The Welcome Wagon,Up On A Mountain
Devendra Banhart,Last Song For B
Sleeping States,Breathing Space
Espers,Caroline
It's A Beautiful Day,White Bird
Lilly Allen,I Could Say
Negghead,Build It Up (Break It Down Mix)
Scorcher,London Boy
Terror Danjah,Hyperphonix
Souls Of Mischief,Postal
Kings Of Convenience,Renegade
Red House Painters,Katy Song
