Interpret;Titel;
Drugdealer;Were You Saying Something?;
Jimi Tenor;Baby Pharao;
Christian Löffler;Krone;
Lambchop;In Care Of 8675309;
Electric Wire Hustle;;I Light A Candle
Junk Son;Pace By Pace;
Frederic Robinson;Flea Waltz;
Sieren;Rebase;
Christian Nielsen;Madmen;
Mavi Phoenix;Quiet;
Denzel Curry ; Zenith;
LSB feat. Millie Watson ; Lydian;
LSB;The Optimist;
The Green Man & Kingz;The Moment Is Now! ;
Overmono;U-Plastics;
Kuedo;Slow Knife;
Boxed In;Forget (George FitzGerald Remix);
Doms & Deykers;It´s You I See;
Torsun Teichgräber & Danja MathariIn;My Own Skin ;
Krink;Eclipse;
Saalschutz;Und Alle So Yeah (Der Tante Renate Remix);
Hannah Williams & The Affirmations ; Still in my head;
Kappekoff;Oktober;
Romare;All Night;
Soft Hair;Relaxed Lizard ; 
Nosizwe;Breathe;
Robert Glasper Experiment;In My Mind;
Push It ;(BrPaternoster enk Sinatra Remix);
DJ Shadow ; The Number Song (Lee Bannon Remix) ;
Doctor & The Medics;Spirit In The Sky;
King Gizzard And The Lizard Wizard ; The Bitter Boogie;
Fred Raspail;Marina De Guadalupe;
Mass Gothic;Pier Pressure;
