Interpret;Titel;;;;
Goldie & Ulterior ;Motive I Adore You;;;;
Om Unit & Moresounds ; Nuff Music;;;;
Oddisee feat. Toine;NNGE;;;;
Autarkic ;Violence;;;;
A Split Second ; Flesh;;;; 
Simple Symmetry ; Voodoo Your Ex ;;;;
Dutch Uncles ; Streetlight  ;;;; 
Warm Digits feat. Field Music ; End Times  ;;;;
The Emperor Machine ; Leggwork;;;;
Falco ;Der Kommissar (Ogris debris Remix);;;;
Bilderbuch ;Erzähl Deinen Mädchen Ich Bin Wieder In Der Stadt  ;;;;
James Brown  ; Funky Drummer (Bonus Beat Reprise)  ;;;; 
Khruangbin ; Balls And Pins ;;;;
Tinariwen ; Hayati;;;;
King Gizzard & The Lizard Wizard;Melting  ;;;; 
My Baby ; Love Dance  ;;;;
NU ;Man O To (Be Svendsen Remix);;;;
Letherette  ;Suzette;;;;
Devonwho  ;Alphaloop;;;;
Mecstreem & Doe Diggla  ; Sunset Overdrive;;;; 
JFDR  ; White Sun ;;;;
Phantom  ;Dance  ;;;;
Florence + The Machine;Dogdays Are Over (Breakage Remix);;;;
Christian Piers;Detachment;;;; 
Cameo;Single Life  ;;;; 
James Brown;Funky Drummer ;;;; 
Ryan Adams  ; Shiver And Shake  ;;;;
Froth  ; Shut The Windows ;;;;
Arbouretum ;Fall From An Eyrie;;;;
Jade Jackson  ; Motorcycle;;;;
Real Estate   ; Darling;;;;
Ivory Clay ; Towards The Open Night ;;;;
Greymatter ;Clocks;;;;
Jacques Greene  ; Real Time ;;;;
Intr0beatz feat. Lay-Far;The Dub (Tape Mix) ;;;;
