Interpret;Titel;;;;;
Queens Of The Stone Age;The Evil Has Landed;;;;;
Queens Of The Stone Age;Fortress (1LIVE Session);;;;;
Tora;Blame ;;;;;
The War On Drugs;Strangest Thing;;;;;
Gorillaz feat. Peven Everett (Kaytranada Remix);Strobelite;;;;;
Beck;Dear Life;;;;;
Action Bronson;Let Me Breathe;;;;;
Mount Kimbie feat. Micachu;Marilyn;;;;;
King Krule;Czech One;;;;;
Grizzly Bear;Neighbors;;;;;
Savas & Sido feat. Marteria;Normale Leute;;;;;
Yung Hurn;Ok Cool;;;;;
Four Tet;SW9 9SL;;;;;
Gucci Mane feat. Migos;I Get The Bag;;;;;
D’Angelo;Brown Sugar;;;;;
Saba;There You Go;;;;;
Nosaj Thing;U G;;;;;
JATA;Love You (Less);;;;;
Mutemath;Hit Parade;;;;;
Daniel Caesar;Neu Roses (Transgressor’s Song);;;;;
Mary J. Blige feat. Kaytranada;Telling The Truth;;;;;
Charlotte Day Wilson;Work;;;;;
Rae Sremmurd;Perplexing Pegasus;;;;;
Wandl;It’s All Good Tho;;;;;
Daphni;Tin ;;;;;
Portico Quartet;Objects To Place In A Tomb ;;;;;
Wiz Khalifa feat. Ty Dolla $ign;Something New;;;;;
Wu-Tang Clan feat. Redman;People Say;;;;;
Cut Copy;Standing In The Middle Of The Field;;;;;
Rejjie Snow feat. Joey Bada$$ & Jesse Boykins III;Purple Tuesday;;;;;
Tyler, The Creator;Boredom;;;;;
Chinese Man feat. Kendra Morris & Dillon Cooper;Liar;;;;;
Sam Vance-Law;Prettyboy;;;;;
Bootsy Collins feat. Kali Uchis;Worth My While;;;;;
alt-j & Lea Porcelain;Deadcrush (Lea Porcelain Remix);;;;;
Shabazz Palaces feat. Thaddillac;Shine A Light;;;;;
