Interpret;Titel
Nadia Khan;Rain Again (Lawrence Remix 1)
Rashid Ajami;Dark City (Atjazz Remix)
Park Hye Jin & Nosaj Thing;Clouds
LA Timpa;Deaf In Three Corners
Answer Code Request;Pasiris
Machinedrum feat. Tanerélle & Mono/Poly;Star (A$AP Ferg Remix)
Kid Cudi feat. Phoebe Bridgers;Lovin´ Me
The Avalanches feat. Rivers Cuomo & Pink Siifu;Running Red Lights
The Flaming Lips;Flowers Of Neptune 6
The Avalanches feat. Blood Orange;We Will Always Love You
Rodriguez Jr.;Pegasus
Above & Beyond feat. Zoë Johnston;Love Is Not Enough (Hybrid Minds Remix)
Sustance;Be Forgiven
Krust;Negative Returns (Four Tet Remix)
Blame;Lift Off
Catnapp;Lengua (Piano Version)
M. Ward;I Get Along Without You Very Well
Burial + Four Tet + Thom Yorke;Her Revolution
Burial + Four Tet + Thom Yorke;His Rope
New Members;Golden Sphere
Manmade Deejay;Amone
El Hardwick;Vanishing Point
Kasper Marott;Mini Trance
Cuts;Unreal
Suuns;Pray
The Kills;Passion Is Accurate
A.R. Kane;A Love From Outer Space
PVA;Exhaust/Surroundings
Wade;Turning Up Dat
Drinks On Me;Levitate (Oppidan Remix)
Rone;Nouveau Monde (Mathew Jonson Remix)
Nu:Tone feat. Maiday;Sweeter
Taylor Swift feat. Bon Iver;Evermore
