Artist;Track
Chase & Status;Consciousness
Beat Merchants;432
Joy Club;Where´s This Love
Rabii Harnoune & V.B. Kühl;Koyo Koyo (V.B. Kühl Rmx)
Whitney;Real LOve
Flasher;Sideways
Drake;Sticky
Skream;Durch Flowerz
Rone;Ghosts (Daniel Avery Rmx)
Baby Strange;Beating In Time
Dry Cleaning;Don´t Press Me
Low Humme;Talk Shows
PVA;Untethered
Rosa Anschütz;Suspect
Foals;Wake Me Up
Bottler;Cicada Rhythm (Prins Thomas Rmx)
Drake;Massive
Yaya Bey;Big Daddy Ya
Kiefer;Montara
Henry Keen ft. Ben Hadwen;Dexter´s Breakfast
Whknws.;Lost Stars
Stimulator Jones;Love Will Light Your Dreams
Flying Lotus feat. Devon Tracey;The Room
Hercules & Love Affair & Anohni;Poisonous Storytelling
Sam Taylor;Chick
Akumen;Bring It
Phantoms;This Can´t Be Everything
Bloomsday;Voicemail
Bartees Strange;Heavy Heart
The Dream Syndicate;Where I´ll Stand
Air Waves;Wait
Flasher;Damage
TV Priest;My Other People
Just Mustard;Mirrors
Zanshin;Heatseeker
Herve & Solante;Hold You (Fours Mix)
DJ Swagger;Things U Do
Kuedo;Sliding Through Our Fingers
